"name","link"
"1. akkar Juice Bar","/Restaurant_Review-g14782503-d20138924-Reviews-Akkar_Juice_Bar-Yogyakarta_Yogyakarta_Region_Java.html"
"2. Kesuma Restaurant","/Restaurant_Review-g14782503-d1723531-Reviews-Kesuma_Restaurant-Yogyakarta_Yogyakarta_Region_Java.html"
"3. Rustik Bistro & Bar","/Restaurant_Review-g14782503-d10092248-Reviews-Rustik_Bistro_Bar-Yogyakarta_Yogyakarta_Region_Java.html"
"4. Water Castle Cafe","/Restaurant_Review-g14782503-d4867663-Reviews-Water_Castle_Cafe-Yogyakarta_Yogyakarta_Region_Java.html"
"5. ViaVia Jogja","/Restaurant_Review-g14782503-d1094166-Reviews-ViaVia_Jogja-Yogyakarta_Yogyakarta_Region_Java.html"
"6. The Samara","/Restaurant_Review-g5074492-d15801401-Reviews-The_Samara-Depok_Sleman_District_Yogyakarta_Region_Java.html"
"7. Sate Ratu","/Restaurant_Review-g2304080-d10097318-Reviews-Sate_Ratu-Sleman_Sleman_District_Yogyakarta_Region_Java.html"
"8. Yogyakarta Kitchen by Marriott","/Restaurant_Review-g5074492-d13123533-Reviews-Yogyakarta_Kitchen_by_Marriott-Depok_Sleman_District_Yogyakarta_Region_Java.html"
"9. Bakmi Jowo Mbah Gito","/Restaurant_Review-g14782503-d7112547-Reviews-Bakmi_Jowo_Mbah_Gito-Yogyakarta_Yogyakarta_Region_Java.html"
"10. Kami Sushi Jogja","/Restaurant_Review-g2304080-d13509542-Reviews-Kami_Sushi_Jogja-Sleman_Sleman_District_Yogyakarta_Region_Java.html"
"11. Bladok","/Restaurant_Review-g14782503-d1863436-Reviews-Bladok-Yogyakarta_Yogyakarta_Region_Java.html"
"12. Rosella Easy Dining Yogyakarta","/Restaurant_Review-g2304080-d7060197-Reviews-Rosella_Easy_Dining_Yogyakarta-Sleman_Sleman_District_Yogyakarta_Region_Java.html"
"13. Sate Ayam Podomoro","/Restaurant_Review-g14782503-d4453293-Reviews-Sate_Ayam_Podomoro-Yogyakarta_Yogyakarta_Region_Java.html"
"14. Gudeg Pawon","/Restaurant_Review-g14782503-d1100014-Reviews-Gudeg_Pawon-Yogyakarta_Yogyakarta_Region_Java.html"
"15. Gadjah Wong Garden Restaurant","/Restaurant_Review-g2304080-d810966-Reviews-Gadjah_Wong_Garden_Restaurant-Sleman_Sleman_District_Yogyakarta_Region_Java.html"
"16. Sekar Kedhaton Restaurant","/Restaurant_Review-g14782503-d2190575-Reviews-Sekar_Kedhaton_Restaurant-Yogyakarta_Yogyakarta_Region_Java.html"
"17. Ayam Goreng Lombok Idjo","/Restaurant_Review-g14782503-d6488226-Reviews-Ayam_Goreng_Lombok_Idjo-Yogyakarta_Yogyakarta_Region_Java.html"
"18. Gubug Makan Mang Engking Pusat","/Restaurant_Review-g2304080-d1082480-Reviews-Gubug_Makan_Mang_Engking_Pusat-Sleman_Sleman_District_Yogyakarta_Region_Java.html"
"19. Gudeg Yu Djum","/Restaurant_Review-g14782503-d10841710-Reviews-Gudeg_Yu_Djum-Yogyakarta_Yogyakarta_Region_Java.html"
"20. The Sawah","/Restaurant_Review-g4020035-d2172526-Reviews-The_Sawah-Kasihan_Yogyakarta_Region_Java.html"
"21. Honje Restaurant","/Restaurant_Review-g14782503-d7272351-Reviews-Honje_Restaurant-Yogyakarta_Yogyakarta_Region_Java.html"
"22. Jadah Tempe Mbah Carik Kaliurang","/Restaurant_Review-g2304080-d7789672-Reviews-Jadah_Tempe_Mbah_Carik_Kaliurang-Sleman_Sleman_District_Yogyakarta_Region_Java.html"
"23. Treat Cafe & Resto","/Restaurant_Review-g14782503-d9835907-Reviews-Treat_Cafe_Resto-Yogyakarta_Yogyakarta_Region_Java.html"
"24. Dapur EL","/Restaurant_Review-g14782503-d12948470-Reviews-Dapur_EL-Yogyakarta_Yogyakarta_Region_Java.html"
"25. Babi Guling Bima Kroda","/Restaurant_Review-g2304084-d811045-Reviews-Babi_Guling_Bima_Kroda-Bantul_Yogyakarta_Region_Java.html"
"26. Sop Ayam Pak Min Klaten","/Restaurant_Review-g14782503-d10001993-Reviews-Sop_Ayam_Pak_Min_Klaten-Yogyakarta_Yogyakarta_Region_Java.html"
"27. Mie ayam Bu Tumini","/Restaurant_Review-g14782503-d814828-Reviews-Mie_ayam_Bu_Tumini-Yogyakarta_Yogyakarta_Region_Java.html"
"28. Ayam Goreng Suharti","/Restaurant_Review-g5074492-d2148550-Reviews-Ayam_Goreng_Suharti-Depok_Sleman_District_Yogyakarta_Region_Java.html"
"29. Taman Sari Bar & Grill","/Restaurant_Review-g5074492-d13447371-Reviews-Taman_Sari_Bar_Grill-Depok_Sleman_District_Yogyakarta_Region_Java.html"
"30. Kurnia Village Jogja","/Restaurant_Review-g14782503-d6738057-Reviews-Kurnia_Village_Jogja-Yogyakarta_Yogyakarta_Region_Java.html"
